1912	16	src/sql/executor	SCC
1876	12	src/share/redolog	
1850	6	src/pl/pl_cache	
1816	2	gen/observer/virtual_table	
1811	9	src/storage/throttle	SCC
1767	7	src/query/api/query/engine	
1748	25	src/storage/vector_type	
1697	16	src/storage/meta_store	SCC
1681	5	src/oblib/lib/net	
1678	6	src/oblib/lib/trace	
1652	4	src/share/parameter	
1635	5	src/oblib/lib/resource	
1635	1	src/query/vector	
1631	2	src/logservice/applyservice	
1570	10	src/oblib/lib/time	
1546	6	src/oblib/lib/hash_func	
1527	6	src/oblib/lib/task	
1527	2	src/storage/blockstore	SCC
1505	2	src/observer/composition/retrieval	
1495	15	src/oblib/rpc/frame	
1481	5	src/sql/das/iter/sparse_retrieval	SCC
1462	13	src/query/api/query/engine/vector	
1425	6	src/rootserver/dbms_job	
1404	4	src/oblib/lib/checksum	
1398	5	src/storage/multi_data_source/adapter_define	SCC
1372	11	src/sql/pl/sys_package	SCC
1329	5	src/storage/deadlock/ob_lcl_scheme	SCC
1314	16	src/data_plane/api/data_plane/transaction	
1292	6	src/share/resource	
1271	4	src/oblib/common/cell	
1257	6	src/sql/tablelock	SCC
1236	2	src/oblib/common/datum	
1230	10	src/oblib/rpc	
1197	6	src/data_plane/api/data_plane/blocksstable	
1185	3	src/query/api/query/engine/cmd	
1183	12	src/share/compaction	
1142	8	src/share/log/palf	
1079	4	src/oblib/lib/guard	
1058	6	src/standby/control	
1021	2	src/rootserver/truncate_info	SCC
1014	4	src/share/vector	
1005	4	src/oblib/lib/rc	
968	7	src/pl/parser	
946	8	src/data_plane/api/data_plane/fts	
922	10	src/data_plane/api/data_plane	
912	5	src/share/resource_limit_calculator	
880	4	src/share/interrupt	
871	3	src/sql/pl/pl_cache	SCC
867	3	src/data_plane/api/data_plane/retrieval	
860	15	src/oblib/rpc/obmysql/packet	
859	3	src/query/api/query	
849	1	src/query/protocol	
844	2	src/oblib/lib/encrypt	
841	5	src/share/rc	
839	4	src/share/text_analysis	
815	7	src/oblib/common/meta_programming	
801	4	src/storage/concurrency_control	SCC
781	4	src/share/inner_table	
766	13	src/sql/resolver/tcl	SCC
755	4	src/observer/ai_service	
740	7	src/oblib/lib/signal	
728	2	src/sql/engine/opt_statistics	SCC
716	3	src/oblib/lib/restore	
708	3	src/oblib/lib/statistic_event	
666	5	src/oblib/lib/wait_event	
636	6	src/data_plane/api/data_plane/ddl	
592	4	src/oblib/lib/compress/zstd_1_3_8	
582	12	src/sql/resolver/prepare	SCC
568	3	src/storage/blocksstable/encoding/neon	
542	4	src/share/longops_mgr	
539	5	src/storage/fts/utils	
534	1	rust/sql-nio/include	
532	3	src/share/log	
529	5	src/oblib/lib/thread_local	
527	3	src/oblib/easy/include	
523	2	src/sql/monitor/show_trace	SCC
522	4	src/query/api/query/protocol	
521	5	src/sql/engine/px/datahub	SCC
499	6	src/oblib/lib/encode	
498	4	src/oblib/lib/profile	
484	4	src/oblib/lib/atomic	
484	6	src/sql/engine/prepare	SCC
482	6	src/query/api/query/session	
481	2	src/sql/engine/user_defined_function	SCC
480	2	src/sql/engine/expand	SCC
479	3	src/share/ai_service	
478	3	src/oblib/common/sql_mode	
472	2	src/oblib/common/lob	
465	2	src/share/json	
457	2	src/data_plane/api/data_plane/truncate_info	
452	10	src/sql/engine/expr/ob_expr_str_cmp_func_compile	
447	4	src/share/ls	
437	1	src/oblib/lib/future	
421	2	src/share/semistruct	
410	9	src/oblib/easy/util	
397	2	src/share/session	
385	1	src/oblib/lib/function	
378	4	src/storage/multi_data_source/compile_utility	SCC
376	1	src/data_plane/api/data_plane/meta	
367	3	src/query/api/query/scheduler	
361	5	src/oblib/lib/compress	
344	10	src/share/datum/ob_datum_funcs_compilation	
327	1	src/query/api/query/engine/px/p2p_datahub	
325	3	src/oblib/lib/locale	
324	3	src/query/api/query/engine/px	
314	3	src/oblib/lib/random	
302	10	src/sql/engine/expr/ob_expr_cmp_func_compile	
293	2	src/share/roaringbitmap	
292	3	src/query/api/query/optimizer	
289	4	src/data_plane/api/data_plane/tablelock	
289	4	src/query/api/query/das	
288	2	src/oblib/lib/compress/zlib	
286	4	src/oblib/common/storage	
283	3	src/sql/pl/parser	SCC
281	13	src/sql/engine/vector	
279	2	src/oblib/common/enumset	
274	4	src/storage/compaction/filter	SCC
266	3	src/data_plane/api/data_plane/fts/dict	
266	2	src/query/api/query/runtime	
249	2	src/oblib/lib/cpu	
246	1	src/share/statement	
244	3	src/query/api/query/command	
229	1	src/query/api/query/engine/aggregate	
221	4	src/data_plane/api/data_plane/lob	
218	2	src/logservice/common_util	
217	1	src/oblib/lib/core_local	
217	1	src/share/aggregate	
208	3	src/share/table	
204	1	src/oblib/lib/literals	
201	2	src/logservice/localservice	
198	3	src/query/api/query/ddl	
197	3	src/query/api/query/resolver	
180	2	src/share/lob	
175	1	src/query/api/query/monitor	
167	2	src/data_plane/api/data_plane/memtable	
164	2	src/share/diagnosis	
164	2	src/query/api/query/plan_cache	
151	2	src/data_plane/api/data_plane/encoding	
150	5	src/share/datum/ob_str_datum_funcs_compilation	
149	2	src/share/io/io_schedule	
140	2	src/share/server_snapshot	
131	2	src/share/autoincrement	
130	1	src/share/leak_checker	
