from_crate	to_crate	class	edges	include	definition	link	own-header	via-generated	island	from-island	rust-header	examples
ob-values-doc	ob-values	listed	27	27	0	0	0	0	0	0	0	src/oblib/common/json_type/ob_json_base.cpp -> src/oblib/lib/charset/ob_dtoa.h (include); src/oblib/common/json_type/ob_json_base.h -> src/oblib/common/number/ob_number_v2.h (include)
ob-values-doc	ob-share	upward-named	4	4	0	0	0	0	0	0	0	src/oblib/common/json_type/ob_json_base.cpp -> src/oblib/common/mysqlclient/ob_mysql_global.h (include); src/oblib/common/json_type/ob_json_base.h -> src/oblib/common/mysqlclient/ob_mysql_global.h (include)
ob-share	ob-errno	listed	5	0	0	0	0	5	0	0	0	src/share/ob_ddl_error_message_table_operator.h -> src/share/mysql_errno.h (via-generated); src/share/ob_ddl_task_executor.h -> src/share/mysql_errno.h (via-generated)
ob-share	ob-base	listed	289	280	1	0	0	8	0	0	0	src/oblib/common/mysqlclient/ob_isql_client.h -> src/oblib/lib/allocator/page_arena.h (include); src/oblib/common/mysqlclient/ob_isql_client.h -> src/oblib/lib/guard/ob_shared_guard.h (include); src/share/ob_task_define.cpp -> src/oblib/lib/oblog/ob_log.h (definition)
ob-share	ob-runtime	listed	69	69	0	0	0	0	0	0	0	src/oblib/grpc/ob_grpc_context.cpp -> src/oblib/lib/net/ob_net_util.h (include); src/oblib/grpc/ob_grpc_context.h -> src/oblib/lib/net/ob_addr.h (include)
ob-share	ob-values	listed	50	49	1	0	0	0	0	0	0	src/oblib/common/mysqlclient/ob_isql_connection.h -> src/oblib/common/object/ob_object.h (include); src/oblib/common/mysqlclient/ob_isql_connection.h -> src/oblib/common/timezone/ob_timezone_info.h (include); src/share/ob_lob_access_utils.cpp -> src/share/lob/ob_lob_text_iter_context.h (definition)
ob-share	ob-values-doc	listed	3	3	0	0	0	0	0	0	0	src/share/ai_service/ob_ai_service_struct.h -> src/oblib/common/json_type/ob_json_base.h (include); src/share/ob_json_access_utils.cpp -> src/oblib/common/json_type/ob_json_base.h (include)
ob-share	ob-schema	upward-named	20	20	0	0	0	0	0	0	0	src/share/ai_service/ob_ai_service_struct.h -> src/share/schema/ob_schema_struct.h (include); src/share/ob_ddl_args.h -> src/share/schema/ob_schema_struct.h (include)
ob-share	x-dropped	uses-dropped	1	1	0	0	0	0	0	0	0	src/oblib/common/mysqlclient/ob_mysql_global.h -> src/oblib/easy/include/easy_define.h (include)
ob-schema	ob-errno	listed	5	0	0	0	0	5	0	0	0	src/share/schema/ob_ddl_epoch.cpp -> src/share/mysql_errno.h (via-generated); src/share/schema/ob_multi_version_schema_service.h -> src/share/mysql_errno.h (via-generated)
ob-schema	ob-base	listed	214	198	0	0	0	16	0	0	0	src/observer/schema/ob_schema_retrieve_utils.h -> src/oblib/lib/oblog/ob_log.h (include); src/observer/schema/ob_schema_retrieve_utils.h -> src/oblib/lib/oblog/ob_log_module.h (include); src/share/inner_table/ob_dump_inner_table_schema.cpp -> src/share/ob_define.h (via-generated)
ob-schema	ob-runtime	listed	27	27	0	0	0	0	0	0	0	src/share/ob_ddl_common.cpp -> src/oblib/lib/compress/ob_compress_util.h (include); src/share/ob_ddl_common.h -> src/share/config/ob_server_config.h (include)
ob-schema	ob-values	listed	46	45	0	0	0	1	0	0	0	src/observer/schema/ob_schema_retrieve_utils.h -> src/share/object/ob_obj_cast.h (include); src/observer/schema/ob_schema_service_sql_impl.h -> src/oblib/common/ob_string_buf.h (include); src/share/schema/ob_schema_struct.h -> src/oblib/common/object/ob_object.h (via-generated)
ob-schema	ob-share	listed	94	87	1	0	0	6	0	0	0	src/observer/schema/ob_schema_retrieve_utils.h -> src/oblib/common/mysqlclient/ob_mysql_result.h (include); src/observer/schema/ob_schema_retrieve_utils.h -> src/share/ob_server_struct.h (include); src/share/ob_ddl_common.cpp -> src/share/ob_ddl_task_serialize_field.h (definition)
ob-schema	ob-log	upward-named	1	1	0	0	0	0	0	0	0	src/share/ob_rpc_struct.h -> src/share/log/palf/log_define.h (include)
ob-schema	storage-api	upward-unnamed	1	1	0	0	0	0	0	0	0	src/share/ob_rpc_struct.h -> src/share/ob_est_row_count_record.h (include)
ob-schema	sql-resolver	upward-named	2	2	0	0	0	0	0	0	0	src/observer/schema/ob_schema_service_sql_impl.cpp -> src/sql/resolver/ddl/ob_fts_index_builder_util.h (include); src/observer/schema/ob_schema_service_sql_impl.cpp -> src/sql/resolver/ob_resolver_utils.h (include)
geo-sys	ob-base	listed	51	0	0	0	0	0	0	51	0	src/share/geo/ob_geo.h -> src/oblib/lib/string/ob_string.h (from-island); src/share/geo/ob_geo_3d.cpp -> src/oblib/lib/utility/ob_fast_convert.h (from-island)
geo-sys	ob-runtime	listed	4	0	0	0	0	0	0	4	0	src/share/geo/ob_geo_bin_iter.ipp -> src/share/rc/ob_server_runtime.h (from-island); src/share/geo/ob_geo_func_utils.h -> src/share/rc/ob_server_runtime.h (from-island)
geo-sys	ob-values	listed	6	0	0	0	0	0	0	6	0	src/share/geo/ob_geo.h -> src/oblib/common/object/ob_obj_type.h (from-island); src/share/geo/ob_geo_bin.h -> src/oblib/common/object/ob_obj_type.h (from-island)
geo-sys	ob-values-doc	listed	2	1	0	0	0	0	0	1	0	src/share/geo/ob_wkb_to_json_bin_visitor.h -> src/oblib/common/json_type/ob_json_bin.h (include); src/share/geo/ob_geo_utils.cpp -> src/oblib/common/udt/ob_udt_type.h (from-island)
geo-sys	ob-share	listed	4	0	0	0	0	0	0	4	0	src/share/geo/ob_geo_to_wkt_visitor.cpp -> src/oblib/common/mysqlclient/ob_mysql_global.h (from-island); src/share/geo/ob_geo_utils.cpp -> src/oblib/common/mysqlclient/ob_mysql_global.h (from-island)
vsag-sys	ob-base	listed	7	2	0	0	0	0	0	5	0	src/share/roaringbitmap/ob_rb_memory_mgr.h -> src/oblib/lib/allocator/ob_block_alloc_mgr.h (include); src/share/roaringbitmap/ob_rb_memory_mgr.h -> src/oblib/lib/allocator/ob_vslice_alloc.h (include); src/oblib/lib/vector/ob_vector_util.cpp -> src/oblib/lib/string/ob_string.h (from-island)
vsag-sys	ob-runtime	listed	1	1	0	0	0	0	0	0	0	src/share/roaringbitmap/ob_rb_memory_mgr.cpp -> src/share/rc/ob_server_runtime.h (include)
