defining_file	declaring_file	definitions	scopes
src/logservice/palf/log_reader_utils.cpp	src/logservice/palf/log_reader_utils.h	12	oceanbase::palf::ReadBuf=7;oceanbase::palf::ReadBufGuard=2;oceanbase::palf::alloc_read_buf=1
src/logservice/palf/log_shared_queue_thread.cpp	src/logservice/palf/log_shared_queue_thread.h	10	oceanbase::palf::LogSharedQueueTh=10
src/logservice/palf/log_shared_task.cpp	src/logservice/palf/log_shared_task.h	8	oceanbase::palf::LogHandleSubmitTask=4;oceanbase::palf::LogSharedTask=4
src/logservice/palf/log_sliding_window.cpp	src/logservice/palf/log_sliding_window.h	69	oceanbase::palf::LogSlidingWindow=67;oceanbase::palf::LogSlidingWindow::LogTaskGuard=2
src/logservice/palf/log_state_mgr.cpp	src/logservice/palf/log_state_mgr.h	15	oceanbase::palf::LogStateMgr=15
src/logservice/palf/log_storage.cpp	src/logservice/palf/log_storage.h	37	oceanbase::palf::LogStorage=37
src/logservice/palf/log_task.cpp	src/logservice/palf/log_task.h	46	oceanbase::palf::LogTask=35;oceanbase::palf::LogSimpleBitMap=8;oceanbase::palf::LogTaskHeaderInfo=3
src/logservice/palf/log_throttle.cpp	src/logservice/palf/log_throttle.h	8	oceanbase::palf::LogWritingThrottle=7;oceanbase::palf::LogThrottlingStat=1
src/logservice/palf/log_writer_utils.cpp	src/logservice/palf/log_writer_utils.h	14	oceanbase::palf::LogWriteBuf=14
src/logservice/palf/lsn_allocator.cpp	src/logservice/palf/lsn_allocator.h	15	oceanbase::palf::LSNAllocator=15
src/logservice/palf/palf_callback_wrapper.cpp	src/logservice/palf/palf_callback_wrapper.h	10	oceanbase::palf::LogPlugins=5;oceanbase::palf::PalfFSCbWrapper=5
src/logservice/palf/palf_env.cpp	src/logservice/palf/palf_env.h	18	oceanbase::palf::PalfEnv=18
src/logservice/palf/palf_env_impl.cpp	src/logservice/palf/palf_env_impl.h	49	oceanbase::palf::PalfEnvImpl=37;oceanbase::palf::PalfDiskOptionsWrapper=7;oceanbase::palf::PalfEnvImpl::RemoveStaleIncompletePalfFunctor=3
src/logservice/palf/palf_handle.cpp	src/logservice/palf/palf_handle.h	28	oceanbase::palf::PalfHandle=28
src/logservice/palf/palf_handle_impl.cpp	src/logservice/palf/palf_handle_impl.h	60	oceanbase::palf::PalfHandleImpl=57;oceanbase::palf::PalfStat=3
