file	line	symbol	construct	text
src/observer/virtual_table/ob_all_virtual_dml_stats.h	53	ObOptDmlStatMapGetter::svr_ip_	member raw bytes (pointer) of type char *	char *svr_ip_;
src/observer/virtual_table/ob_all_virtual_dml_stats.h	55	ObOptDmlStatMapGetter::cur_row_	member ObNewRow (reference) of type common::ObNewRow &	common::ObNewRow &cur_row_;
src/observer/virtual_table/ob_all_virtual_dtl_channel.h	154	ObAllVirtualDtlChannel::ipstr_	member ObString (value) of type common::ObString	common::ObString ipstr_;
src/observer/virtual_table/ob_all_virtual_dtl_interm_result_monitor.h	32	ObDTLIntermResultMonitorInfoGetter::ObDTLIntermResultMonitorInfoGetter	allocator in, arena view out: common::ObNewRow &cur_row	ObDTLIntermResultMonitorInfoGetter(common::ObScanner &scanner,
src/observer/virtual_table/ob_all_virtual_dtl_interm_result_monitor.h	51	ObDTLIntermResultMonitorInfoGetter::cur_row_	member ObNewRow (reference) of type common::ObNewRow &	common::ObNewRow &cur_row_;
src/observer/virtual_table/ob_all_virtual_dtl_memory.h	114	ObAllVirtualDtlMemory::ipstr_	member ObString (value) of type common::ObString	common::ObString ipstr_;
src/observer/virtual_table/ob_all_virtual_kvcache_store_memblock.h	53	ObAllVirtualKVCacheStoreMemblock::ipstr_	member ObString (value) of type common::ObString	common::ObString ipstr_;
src/observer/virtual_table/ob_all_virtual_mds_node_stat.cpp	62	ApplyOnTabletOp::temp_buffer_	member raw bytes (pointer) of type char *	char *temp_buffer_;
src/observer/virtual_table/ob_all_virtual_opt_stat_gather_monitor.h	44	ObAllVirtualOptStatGatherMonitor::ipstr_	member ObString (value) of type common::ObString	common::ObString ipstr_;
src/observer/virtual_table/ob_all_virtual_outline.h	55	ObAllVirtualOutlineBase::DBInfo::db_name_	member ObString (value) of type common::ObString [not built]	common::ObString db_name_;
src/observer/virtual_table/ob_all_virtual_raid_stat.h	37	ObDiskStat::status_	member raw bytes (pointer) of type const char *	const char *status_;
src/observer/virtual_table/ob_all_virtual_scheduler_running_job.h	77	ObAllVirtualSchedulerRunningJob::FillScanner::cur_row_	member ObNewRow (pointer) of type common::ObNewRow *	common::ObNewRow *cur_row_;
src/observer/virtual_table/ob_all_virtual_session_info.h	92	ObAllVirtualSessionInfo::FillScanner::cur_row_	member ObNewRow (pointer) of type common::ObNewRow *	common::ObNewRow *cur_row_;
src/observer/virtual_table/ob_all_virtual_session_ps_info.cpp	73	format_param_types	allocator in, arena view out: const char *&ptr	int format_param_types(const ObIArray<obmysql::EMySQLFieldType> &param_types,
src/observer/virtual_table/ob_all_virtual_show_tables.h	63	ObAllVirtualShowTables::database_name_	member ObString (value) of type common::ObString	common::ObString database_name_;
